Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//feedback,22,0,10,9.996568178228864,3.582899982575327,18.901199975516647,3011.0,1.26238332457061,0.0,10,11,12,13,15,15,19,19,19,19,19
GET,//index,18,18,10,11.353794443291715,3.9281999925151467,41.92619997775182,207.0,1.0328590837395901,1.0328590837395901,11,12,12,13,14,42,42,42,42,42,42
GET,//signup,12,12,11,10.360516665969044,3.87590000173077,14.850299980025738,207.0,0.68857272249306,0.68857272249306,11,12,12,12,14,15,15,15,15,15,15
,Aggregated,52,30,11,10.550365382536816,3.582899982575327,41.92619997775182,1393.3076923076924,2.98381513080326,1.7214318062326501,11,12,12,13,14,15,19,42,42,42,42
